person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,emp_length_clean,int_rate_clean,lti_ratio,default_history_flag,risk_tier
39,182500,RENT,2.0,HOMEIMPROVEMENT,A,12500,5.42,0,0.07,False,11,2.0,5.42,0.068,0,Tier 1: Low Risk (Prime)
22,29000,RENT,4.0,VENTURE,A,1000,7.29,0,0.03,False,4,4.0,7.29,0.034,0,Tier 1: Low Risk (Prime)
35,106369,MORTGAGE,2.0,MEDICAL,A,8325,6.99,0,0.08,False,10,2.0,6.99,0.078,0,Tier 1: Low Risk (Prime)
24,55032,RENT,8.0,EDUCATION,A,12000,9.63,0,0.22,False,2,8.0,9.63,0.218,0,Tier 2: Medium Risk (Standard)
26,83500,MORTGAGE,0.0,MEDICAL,A,6500,8.59,0,0.08,False,2,0.0,8.59,0.078,0,Tier 1: Low Risk (Prime)
29,139500,MORTGAGE,4.0,HOMEIMPROVEMENT,A,15000,,0,0.11,False,5,4.0,7.33,0.108,0,Tier 1: Low Risk (Prime)
27,80500,RENT,2.0,PERSONAL,A,8000,8.49,0,0.1,False,9,2.0,8.49,0.099,0,Tier 1: Low Risk (Prime)
29,54996,RENT,8.0,MEDICAL,A,9300,9.32,0,0.17,False,7,8.0,9.32,0.169,0,Tier 2: Medium Risk (Standard)
28,33763,RENT,5.0,MEDICAL,A,4800,7.14,0,0.14,False,5,5.0,7.14,0.142,0,Tier 1: Low Risk (Prime)
31,31000,OWN,0.0,PERSONAL,A,12500,8.94,0,0.4,False,8,0.0,8.94,0.403,0,Tier 3: High Risk (Subprime)
23,50000,RENT,5.0,PERSONAL,A,10000,8.94,0,0.2,False,2,5.0,8.94,0.2,0,Tier 2: Medium Risk (Standard)
21,8004,RENT,4.0,MEDICAL,A,3000,7.88,1,0.37,False,2,4.0,7.88,0.375,0,Tier 2: Medium Risk (Standard)
24,36000,MORTGAGE,,HOMEIMPROVEMENT,A,14775,6.62,0,0.41,False,4,0.0,6.62,0.41,0,Tier 3: High Risk (Subprime)
26,70000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,8000,,0,0.11,False,2,0.0,7.33,0.114,0,Tier 1: Low Risk (Prime)
28,75000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,16000,6.17,0,0.21,False,6,12.0,6.17,0.213,0,Tier 2: Medium Risk (Standard)
24,35000,RENT,8.0,PERSONAL,A,5000,7.88,0,0.14,False,3,8.0,7.88,0.143,0,Tier 1: Low Risk (Prime)
30,125000,MORTGAGE,14.0,HOMEIMPROVEMENT,A,5750,7.43,0,0.05,False,5,14.0,7.43,0.046,0,Tier 1: Low Risk (Prime)
23,125000,OTHER,4.0,VENTURE,A,7500,8.0,0,0.06,False,4,4.0,8.0,0.06,0,Tier 1: Low Risk (Prime)
29,98850,RENT,6.0,HOMEIMPROVEMENT,A,12500,,0,0.13,False,9,6.0,7.33,0.126,0,Tier 1: Low Risk (Prime)
30,110000,MORTGAGE,0.0,MEDICAL,A,6000,6.92,0,0.05,False,8,0.0,6.92,0.055,0,Tier 1: Low Risk (Prime)
23,34800,RENT,6.0,VENTURE,A,6600,7.49,0,0.19,False,2,6.0,7.49,0.19,0,Tier 2: Medium Risk (Standard)
44,124800,RENT,1.0,PERSONAL,A,10875,7.14,0,0.09,False,14,1.0,7.14,0.087,0,Tier 1: Low Risk (Prime)
22,40000,RENT,1.0,DEBTCONSOLIDATION,A,2800,7.49,0,0.07,False,4,1.0,7.49,0.07,0,Tier 1: Low Risk (Prime)
23,60000,MORTGAGE,4.0,PERSONAL,A,20000,6.54,0,0.33,False,3,4.0,6.54,0.333,0,Tier 2: Medium Risk (Standard)
28,225000,MORTGAGE,1.0,VENTURE,A,5000,7.75,0,0.02,False,5,1.0,7.75,0.022,0,Tier 1: Low Risk (Prime)
23,130000,RENT,0.0,MEDICAL,A,8400,,0,0.06,False,4,0.0,7.33,0.065,0,Tier 1: Low Risk (Prime)
23,65000,MORTGAGE,1.0,VENTURE,A,7000,8.49,0,0.11,False,4,1.0,8.49,0.108,0,Tier 1: Low Risk (Prime)
25,79000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,9000,6.76,0,0.11,False,4,0.0,6.76,0.114,0,Tier 1: Low Risk (Prime)
25,48000,RENT,1.0,EDUCATION,A,3000,9.32,1,0.06,False,4,1.0,9.32,0.063,0,Tier 1: Low Risk (Prime)
29,75000,MORTGAGE,1.0,MEDICAL,A,12000,9.63,0,0.16,False,6,1.0,9.63,0.16,0,Tier 2: Medium Risk (Standard)
23,28800,OWN,7.0,MEDICAL,A,12250,7.51,0,0.43,False,4,7.0,7.51,0.425,0,Tier 3: High Risk (Subprime)
23,57750,RENT,3.0,EDUCATION,A,8000,7.49,0,0.14,False,3,3.0,7.49,0.139,0,Tier 1: Low Risk (Prime)
35,60000,RENT,3.0,HOMEIMPROVEMENT,A,8000,5.79,0,0.13,False,10,3.0,5.79,0.133,0,Tier 1: Low Risk (Prime)
44,1440000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,6400,7.4,0,0.0,False,15,7.0,7.4,0.004,0,Tier 1: Low Risk (Prime)
28,86400,MORTGAGE,,DEBTCONSOLIDATION,A,5000,7.9,0,0.06,False,8,0.0,7.9,0.058,0,Tier 1: Low Risk (Prime)
24,42000,OWN,7.0,VENTURE,A,12000,7.66,0,0.29,False,3,7.0,7.66,0.286,0,Tier 2: Medium Risk (Standard)
26,93000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,8000,6.99,0,0.09,False,2,0.0,6.99,0.086,0,Tier 1: Low Risk (Prime)
26,110000,RENT,0.0,DEBTCONSOLIDATION,A,2100,7.12,0,0.02,False,2,0.0,7.12,0.019,0,Tier 1: Low Risk (Prime)
29,54000,MORTGAGE,8.0,MEDICAL,A,7500,7.49,1,0.14,False,7,8.0,7.49,0.139,0,Tier 1: Low Risk (Prime)
26,40610,MORTGAGE,7.0,HOMEIMPROVEMENT,A,3500,7.14,0,0.09,False,4,7.0,7.14,0.086,0,Tier 1: Low Risk (Prime)
23,37700,MORTGAGE,7.0,DEBTCONSOLIDATION,A,10000,9.63,1,0.27,False,3,7.0,9.63,0.265,0,Tier 2: Medium Risk (Standard)
22,54800,OWN,7.0,EDUCATION,A,8000,,0,0.15,False,2,7.0,7.33,0.146,0,Tier 1: Low Risk (Prime)
27,31200,RENT,4.0,MEDICAL,A,10000,8.0,1,0.32,False,9,4.0,8.0,0.321,0,Tier 2: Medium Risk (Standard)
25,154000,MORTGAGE,4.0,MEDICAL,A,12225,7.49,0,0.08,False,3,4.0,7.49,0.079,0,Tier 1: Low Risk (Prime)
24,85392,RENT,9.0,EDUCATION,A,9600,7.29,0,0.11,False,3,9.0,7.29,0.112,0,Tier 1: Low Risk (Prime)
23,16000,OWN,7.0,PERSONAL,A,2000,6.39,0,0.13,False,3,7.0,6.39,0.125,0,Tier 1: Low Risk (Prime)
29,99400,MORTGAGE,3.0,VENTURE,A,6000,6.92,0,0.06,False,7,3.0,6.92,0.06,0,Tier 1: Low Risk (Prime)
37,45000,RENT,1.0,DEBTCONSOLIDATION,A,7000,7.49,0,0.16,False,15,1.0,7.49,0.156,0,Tier 2: Medium Risk (Standard)
27,64000,RENT,3.0,PERSONAL,A,3600,7.49,1,0.06,False,5,3.0,7.49,0.056,0,Tier 1: Low Risk (Prime)
22,34039,RENT,,PERSONAL,A,6000,7.9,0,0.18,False,2,0.0,7.9,0.176,0,Tier 2: Medium Risk (Standard)
21,14000,RENT,0.0,MEDICAL,A,2000,,0,0.14,False,4,0.0,7.33,0.143,0,Tier 1: Low Risk (Prime)
22,45500,RENT,0.0,VENTURE,A,10000,5.99,0,0.22,False,4,0.0,5.99,0.22,0,Tier 2: Medium Risk (Standard)
35,101400,MORTGAGE,11.0,PERSONAL,A,4500,9.32,0,0.04,False,8,11.0,9.32,0.044,0,Tier 1: Low Risk (Prime)
24,65000,RENT,3.0,EDUCATION,A,3500,7.74,0,0.05,False,3,3.0,7.74,0.054,0,Tier 1: Low Risk (Prime)
31,69000,RENT,12.0,HOMEIMPROVEMENT,A,16000,5.99,0,0.23,False,9,12.0,5.99,0.232,0,Tier 2: Medium Risk (Standard)
25,150000,MORTGAGE,9.0,VENTURE,A,8200,5.79,0,0.05,False,2,9.0,5.79,0.055,0,Tier 1: Low Risk (Prime)
25,62000,RENT,9.0,DEBTCONSOLIDATION,A,7000,7.49,0,0.11,False,4,9.0,7.49,0.113,0,Tier 1: Low Risk (Prime)
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,False,4,3.0,7.9,0.375,0,Tier 2: Medium Risk (Standard)
30,90000,MORTGAGE,14.0,PERSONAL,A,18000,8.49,0,0.2,False,7,14.0,8.49,0.2,0,Tier 2: Medium Risk (Standard)
33,48000,MORTGAGE,9.0,EDUCATION,A,7500,6.03,0,0.16,False,10,9.0,6.03,0.156,0,Tier 2: Medium Risk (Standard)
38,55000,MORTGAGE,16.0,EDUCATION,A,11700,7.66,0,0.21,False,15,16.0,7.66,0.213,0,Tier 2: Medium Risk (Standard)
28,54000,RENT,9.0,VENTURE,A,6000,5.42,0,0.11,False,5,9.0,5.42,0.111,0,Tier 1: Low Risk (Prime)
53,95000,OWN,24.0,PERSONAL,A,6000,5.42,0,0.06,False,30,24.0,5.42,0.063,0,Tier 1: Low Risk (Prime)
34,65000,RENT,0.0,EDUCATION,A,17900,7.9,0,0.28,False,8,0.0,7.9,0.275,0,Tier 2: Medium Risk (Standard)
32,100000,MORTGAGE,4.0,PERSONAL,A,6000,7.14,0,0.06,False,10,4.0,7.14,0.06,0,Tier 1: Low Risk (Prime)
22,25200,MORTGAGE,2.0,PERSONAL,A,7000,6.03,0,0.28,False,4,2.0,6.03,0.278,0,Tier 2: Medium Risk (Standard)
27,98004,RENT,8.0,HOMEIMPROVEMENT,A,10000,6.54,0,0.1,False,10,8.0,6.54,0.102,0,Tier 1: Low Risk (Prime)
28,50000,RENT,0.0,EDUCATION,A,7000,8.32,0,0.14,False,5,0.0,8.32,0.14,0,Tier 1: Low Risk (Prime)
26,53000,MORTGAGE,10.0,VENTURE,A,12000,5.99,0,0.23,False,4,10.0,5.99,0.226,0,Tier 2: Medium Risk (Standard)
27,24000,RENT,2.0,DEBTCONSOLIDATION,A,8000,7.29,1,0.33,False,7,2.0,7.29,0.333,0,Tier 2: Medium Risk (Standard)
38,151000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,35000,8.9,0,0.23,False,12,8.0,8.9,0.232,0,Tier 2: Medium Risk (Standard)
25,48600,RENT,0.0,MEDICAL,A,12000,,0,0.25,False,2,0.0,7.33,0.247,0,Tier 2: Medium Risk (Standard)
24,93600,MORTGAGE,,MEDICAL,A,3600,5.42,0,0.04,False,2,0.0,5.42,0.038,0,Tier 1: Low Risk (Prime)
23,58000,RENT,2.0,DEBTCONSOLIDATION,A,10000,7.88,0,0.17,False,2,2.0,7.88,0.172,0,Tier 2: Medium Risk (Standard)
23,38800,RENT,2.0,EDUCATION,A,14575,,1,0.38,False,2,2.0,7.33,0.376,0,Tier 2: Medium Risk (Standard)
38,35000,RENT,22.0,EDUCATION,A,11100,6.62,1,0.32,False,14,22.0,6.62,0.317,0,Tier 2: Medium Risk (Standard)
24,72000,RENT,4.0,DEBTCONSOLIDATION,A,4000,7.88,0,0.06,False,3,4.0,7.88,0.056,0,Tier 1: Low Risk (Prime)
21,43971,MORTGAGE,5.0,PERSONAL,A,4600,5.42,0,0.1,False,4,5.0,5.42,0.105,0,Tier 1: Low Risk (Prime)
27,75000,RENT,2.0,EDUCATION,A,14000,9.63,0,0.19,False,5,2.0,9.63,0.187,0,Tier 2: Medium Risk (Standard)
21,34000,MORTGAGE,5.0,PERSONAL,A,7200,6.76,1,0.21,False,2,5.0,6.76,0.212,0,Tier 2: Medium Risk (Standard)
22,73000,RENT,0.0,PERSONAL,A,9600,8.94,1,0.13,False,3,0.0,8.94,0.132,0,Tier 1: Low Risk (Prime)
21,31000,MORTGAGE,5.0,PERSONAL,A,6000,7.51,0,0.19,False,4,5.0,7.51,0.194,0,Tier 2: Medium Risk (Standard)
24,52728,RENT,4.0,EDUCATION,A,5000,7.74,0,0.09,False,4,4.0,7.74,0.095,0,Tier 1: Low Risk (Prime)
26,80000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,3000,8.0,0,0.04,False,3,5.0,8.0,0.037,0,Tier 1: Low Risk (Prime)
25,16000,RENT,0.0,DEBTCONSOLIDATION,A,3200,9.32,1,0.2,False,2,0.0,9.32,0.2,0,Tier 2: Medium Risk (Standard)
28,82000,RENT,12.0,PERSONAL,A,8000,7.49,0,0.1,False,10,12.0,7.49,0.098,0,Tier 1: Low Risk (Prime)
28,20400,MORTGAGE,4.0,EDUCATION,A,2075,7.88,0,0.1,False,8,4.0,7.88,0.102,0,Tier 1: Low Risk (Prime)
28,46000,MORTGAGE,12.0,PERSONAL,A,6500,6.99,0,0.14,False,7,12.0,6.99,0.141,0,Tier 1: Low Risk (Prime)
29,38000,MORTGAGE,5.0,EDUCATION,A,8000,8.59,0,0.21,False,6,5.0,8.59,0.211,0,Tier 2: Medium Risk (Standard)
38,170000,RENT,0.0,VENTURE,A,5500,,0,0.03,False,13,0.0,7.33,0.032,0,Tier 1: Low Risk (Prime)
22,69077,MORTGAGE,2.0,PERSONAL,A,10000,7.51,0,0.14,False,3,2.0,7.51,0.145,0,Tier 1: Low Risk (Prime)
22,24960,OWN,,PERSONAL,A,4525,7.51,0,0.18,False,4,0.0,7.51,0.181,0,Tier 2: Medium Risk (Standard)
25,36000,RENT,8.0,PERSONAL,A,3350,7.9,0,0.09,False,4,8.0,7.9,0.093,0,Tier 1: Low Risk (Prime)
33,140000,MORTGAGE,14.0,MEDICAL,A,9600,6.91,0,0.07,False,10,14.0,6.91,0.069,0,Tier 1: Low Risk (Prime)
36,200000,MORTGAGE,8.0,MEDICAL,A,14000,7.49,0,0.07,False,15,8.0,7.49,0.07,0,Tier 1: Low Risk (Prime)
22,42000,MORTGAGE,4.0,PERSONAL,A,7050,,0,0.17,False,4,4.0,7.33,0.168,0,Tier 2: Medium Risk (Standard)
23,48000,MORTGAGE,0.0,EDUCATION,A,3200,7.51,0,0.07,False,2,0.0,7.51,0.067,0,Tier 1: Low Risk (Prime)
32,50000,OWN,16.0,MEDICAL,A,8000,7.49,0,0.16,False,10,16.0,7.49,0.16,0,Tier 2: Medium Risk (Standard)
25,28000,MORTGAGE,,MEDICAL,A,9600,6.03,0,0.34,False,3,0.0,6.03,0.343,0,Tier 2: Medium Risk (Standard)
31,100000,MORTGAGE,1.0,VENTURE,A,12000,5.42,0,0.12,False,7,1.0,5.42,0.12,0,Tier 1: Low Risk (Prime)
41,21000,RENT,1.0,MEDICAL,A,5500,5.79,0,0.26,False,14,1.0,5.79,0.262,0,Tier 2: Medium Risk (Standard)
51,60000,RENT,6.0,DEBTCONSOLIDATION,A,8500,5.79,0,0.14,False,18,6.0,5.79,0.142,0,Tier 1: Low Risk (Prime)
